A,AAP,AAPL
57.46,110.17,563.9
57.17,109.92,560.09
57.32,109.63,554.52
57.19,110.68,561.02
56.21,109.74,553.13
56.92,112.88,540.98
56.64,111.8,543.93
57.45,113.18,540.0375
58.39,112.3,543.46
58.41,113.55,536.519
58.93,115.64,532.94
58.93,114.29,535.73
59.88,117.6,546.39
60.34,117.47,557.36
60.5,117.88,554.25
60.71,118.44,540.67
60.85,118,549.07
60.93,117.75,551.51
59.47,116.33,556.18
57.87,115.98,546.07
58.3,115.4,550.5
58.1,116.25,506.5
57.65,113.9,500.75
59.51,115.2,499.782
58.15,114.81,500.6
56.15,110.22,501.53
57.81,110.25,508.79
57.43,110.75,512.59
58.29,124.86,512.51
59.42,125,519.68
59.01,123.32,528.99
59.73,125.44,535.96
59.89,124.96,535.92
60.08,126.26,544.43
55.25,127.34,543.99
55.15,126.79,545.99
55.94,125.94,537.37
57.29,127.56,531.15
56.34,127.92,525.25
56.75,126.5,527.55
56.89,125.5,522.06
57.1,125.79,517.35
56.36,125.03,527.67
56.93,127.36,526.24
56.71,126.28,527.76
57.78,126.42,531.24
57.8,125.59,532.36
58.77,126.74,530.75
58.42,126.8,530.44
58.15,126.78,530.92
56.86,126.94,536.09
57.06,126.49,536.61
55.85,124.56,530.65
55.44,124.6,524.69
55.8,126.3,526.74
56.79,125.95,531.4
56.63,124.52,531.26
56.7,124.75,528.7
56.09,126.33,532.87
55.26,124.7,539.19
55.16,123.56,544.99
55.17,122.75,539.78
54.69,123.89,537.46
54.69,124.65,536.86
55.92,126.5,536.74
56.36,127.25,541.65
56.67,126.86,542.55
56.6,126.4,538.79
55.57,121.64,531.82
54.35,118.11,523.47
54.66,119.16,523.44
55.57,121.58,530.32
54.05,118.61,523.48
52.77,116.25,519.61
52.65,117.2,521.68
53.11,117.54,517.9599
53.68,119.51,519.01
54.65,120.84,524.94
54.69,121.4,531.17
54.97,121.61,531.699
